seq,t_wall,t_rel,ik_ok,left_human_dx,left_human_dy,left_human_dz,left_human_distance,left_robot_dx,left_robot_dy,left_robot_dz,left_robot_distance,left_error_dx,left_error_dy,left_error_dz,left_error_distance,right_human_dx,right_human_dy,right_human_dz,right_human_distance,right_robot_dx,right_robot_dy,right_robot_dz,right_robot_distance,right_error_dx,right_error_dy,right_error_dz,right_error_distance
1260,1789107649.5546296,42.44479120499818,1,0.3412581994415754,0.0977863278613358,-0.32187597982433114,0.4791904329080287,0.2054483406291994,0.11867523212934838,-0.34302092243227994,0.41708054931216637,-0.13580985881237603,0.020888904268012584,-0.021144942607948802,0.13902435998791418,0.24324153426589804,-0.15197770642529343,-0.2682717346384791,0.39272559230111204,0.18401659079969415,-0.15514719819527928,-0.312027970853989,0.39407386793930543,-0.05922494346620388,-0.0031694917699858494,-0.04375623621550989,0.07370378426107138
1261,1789107649.588067,42.47822909599927,1,0.34117969990057295,0.09821058723918427,-0.3218065488586146,0.4791746674840004,0.2054483406291994,0.11867523212934838,-0.34302092243227994,0.41708054931216637,-0.13573135927137356,0.020464644890164113,-0.021214373573665346,0.1388951159193808,0.2461596669589821,-0.15355155013886457,-0.2718681681403834,0.3975989952645919,0.18401659079969415,-0.15514719819527928,-0.312027970853989,0.39407386793930543,-0.062143076159287935,-0.0015956480564147113,-0.040159802713605586,0.07400755205554851
1262,1789107649.62363,42.51185813700067,1,0.34101988604458566,0.0990210690587412,-0.3217535355796972,0.4791921039139039,0.20558561747267376,0.11870230837059333,-0.3430293410630765,0.41716281348449125,-0.1354342685719119,0.01968123931185213,-0.021275805483379262,0.13850072990214077,0.2487702621523409,-0.15391543202544591,-0.2736521104087988,0.4005771849196026,0.18475273182733234,-0.15469412558341955,-0.31245619426222704,0.3945791653654758,-0.06401753032500856,-0.0007786935579736365,-0.03880408385342826,0.074863926401669
1263,1789107649.6555736,42.54573493399948,1,0.3407713326487206,0.099653961870644,-0.32167275632131886,0.4790922410466019,0.20558561747267376,0.11870230837059333,-0.3430293410630765,0.41716281348449125,-0.13518571517604686,0.019048346499949326,-0.02135658474175761,0.13818147778871548,0.2502920389460799,-0.15358138209376526,-0.2734357305835564,0.40124860678310187,0.18475273182733234,-0.15469412558341955,-0.31245619426222704,0.3945791653654758,-0.06553930711874753,-0.0011127434896542887,-0.039020463678670625,0.07628391417184709
1264,1789107649.6891837,42.579306263000035,1,0.3407199719979954,0.09976051761895717,-0.32168470164994956,0.4790859082351871,0.20573055537677518,0.11872259445418715,-0.34303766387232143,0.4172468749847619,-0.13498941662122024,0.018962076835229977,-0.021352962222371874,0.13797699791382828,0.2513567083133117,-0.15363119850416213,-0.2730507685826278,0.40167083811435983,0.18595945059345872,-0.15446517632646753,-0.31405997620276926,0.39632572035520447,-0.06539725771985297,-0.000833977822305404,-0.041009207620141486,0.07719619126561127
1265,1789107649.722747,42.61290743800055,1,0.3407846994110465,0.09930346284704664,-0.32168031173994605,0.4790340405933601,0.20573055537677518,0.11872259445418715,-0.34303766387232143,0.4172468749847619,-0.13505414403427132,0.01941913160714051,-0.021357352132375385,0.13810452919188212,0.25198241853287795,-0.1539795184914554,-0.2727186127310044,0.4019704878401678,0.18595945059345872,-0.15446517632646753,-0.31405997620276926,0.39632572035520447,-0.06602296793941922,-0.00048565783501211546,-0.04134136347176487,0.07789978493402187
1266,1789107649.7593286,42.646793264000735,1,0.34089056062043943,0.09830969328448119,-0.3216523598794394,0.4788855925268776,0.20573055537677518,0.11872259445418715,-0.34303766387232143,0.4172468749847619,-0.13516000524366426,0.020412901169705955,-0.02138530399288202,0.1383555014392254,0.25214246839202736,-0.15456706994250646,-0.2724642824296408,0.4021238474367509,0.18595945059345872,-0.15446517632646753,-0.31405997620276926,0.39632572035520447,-0.06618301779856864,0.00010189361603893388,-0.04159569377312844,0.07816907296176998
1267,1789107649.7918677,42.68202692200066,1,0.34093425382567166,0.09738672759747997,-0.3216655109733604,0.4787369226345157,0.20573055537677518,0.11872259445418715,-0.34303766387232143,0.4172468749847619,-0.1352036984488965,0.021335866856707172,-0.02137215289896105,0.13853529589358748,0.25207466282696556,-0.1549787971617765,-0.27239374860229715,0.4021920156923194,0.18595945059345872,-0.15446517632646753,-0.31405997620276926,0.39632572035520447,-0.06611521223350683,0.0005136208353089811,-0.04166622760047212,0.07815087726633949
1268,1789107649.8248563,42.71501757599981,1,0.34085923539317364,0.09695969004042458,-0.3216631244664889,0.47859520002513406,0.2058668716072984,0.11875602206376917,-0.34304096721756255,0.41732633129404517,-0.13499236378587523,0.021796332023344592,-0.021377842751073628,0.1384016998842846,0.2520427475435111,-0.15507371094345834,-0.27247498741204557,0.40226362149746,0.18739677366461435,-0.15442944632638234,-0.31631670201779855,0.3987759529460076,-0.06464597387889673,0.0006442646170760069,-0.04384171460575298,0.07811282196425955
1269,1789107649.8579352,42.748097317999054,1,0.34056823442804407,0.0969307184263198,-0.32151444619451075,0.4782821610595995,0.2058668716072984,0.11875602206376917,-0.34304096721756255,0.41732633129404517,-0.13470136282074566,0.021825303637449375,-0.021526521023051803,0.13814554691335118,0.2519472841643977,-0.1549721195561265,-0.2726406640366128,0.4022769239266146,0.18739677366461435,-0.15442944632638234,-0.31631670201779855,0.3987759529460076,-0.06455051049978336,0.0005426732297441617,-0.043676037981185745,0.07794010003682894
